Player,Season,Team,Position,PTS,TRB,AST,STL,BLK,TOV,FT,FG%,3P%,2P%,FT%,TS%,BPM,OBPM,DBPM,PER,WS
Bradley Beal,2018-19,WAS,SG,25.6,5.0,5.5,1.5,0.7,2.7,4.4,0.475,0.351,0.548,0.808,0.581,2.9,3.8,-0.8,20.8,7.6
DeMar DeRozan,2018-19,SAS,SG,21.2,6.0,6.2,1.1,0.5,2.6,4.8,0.481,0.156,0.492,0.83,0.542,1.1,1.0,0.1,19.6,6.3
Mike Conley,2018-19,MEM,PG,21.1,3.4,6.4,1.3,0.3,1.9,4.9,0.438,0.364,0.483,0.845,0.569,4.7,4.6,0.1,21.4,8.0
Julius Randle,2018-19,NOP,PF,21.4,8.7,3.1,0.7,0.6,2.8,4.9,0.524,0.344,0.564,0.731,0.6,1.5,2.1,-0.6,20.9,6.1
Jaylen Brown,2018-19,BOS,SG,13.0,4.2,1.4,0.9,0.4,1.3,1.8,0.465,0.344,0.529,0.658,0.547,-2.1,-1.6,-0.4,13.5,3.0
Jrue Holiday,2018-19,NOP,SG,21.2,5.0,7.7,1.6,0.8,3.1,3.1,0.472,0.325,0.539,0.768,0.555,3.0,3.1,-0.1,19.4,5.4
Bam Adebayo,2018-19,MIA,C,8.9,7.3,2.2,0.9,0.8,1.5,2.0,0.576,0.2,0.588,0.735,0.623,1.8,-0.4,2.2,17.9,6.8
Andrew Wiggins,2018-19,MIN,SF,18.1,4.8,2.5,1.0,0.7,1.9,2.8,0.412,0.339,0.441,0.699,0.493,-3.0,-1.2,-1.8,12.4,0.6
Deandre Ayton,2018-19,PHO,C,16.3,10.3,1.8,0.9,0.9,1.8,2.0,0.585,0.0,0.588,0.746,0.608,0.2,1.3,-1.1,20.5,5.8
CJ McCollum,2018-19,POR,SG,21.0,4.0,3.0,0.8,0.4,1.5,2.3,0.459,0.375,0.506,0.828,0.553,1.0,2.1,-1.0,17.0,5.6
Derrick White,2018-19,SAS,PG,9.9,3.7,3.9,1.0,0.7,1.4,1.4,0.479,0.338,0.529,0.772,0.555,0.9,-0.4,1.3,14.8,3.6
Donovan Mitchell,2018-19,UTA,SG,23.8,4.1,4.2,1.4,0.4,2.8,4.1,0.432,0.362,0.468,0.806,0.537,1.3,1.2,0.1,17.2,5.0
De'Aaron Fox,2018-19,SAC,PG,17.3,3.8,7.3,1.6,0.6,2.8,3.7,0.458,0.371,0.482,0.727,0.544,1.5,1.3,0.2,18.1,5.6
Domantas Sabonis,2018-19,IND,C,14.1,9.3,2.9,0.6,0.4,2.2,2.8,0.59,0.529,0.592,0.715,0.63,3.1,1.9,1.3,21.9,7.6
